"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030106a Ullern";"65 years";397
"030106a Ullern";"66 years";348
"030106a Ullern";"67 years";369
"030106a Ullern";"68 years";352
"030106a Ullern";"69 years";338
"030106a Ullern";"70 years";364
"030106a Ullern";"71 years";359
"030106a Ullern";"72 years";364
"030106a Ullern";"73 years";312
"030106a Ullern";"74 years";326
"030106a Ullern";"75 years";374
"030106a Ullern";"76 years";361
"030106a Ullern";"77 years";414
"030106a Ullern";"78 years";339
"030106a Ullern";"79 years";327
"030106a Ullern";"80 years";293
"030106a Ullern";"81 years";217
"030106a Ullern";"82 years";175
"030106a Ullern";"83 years";186
"030106a Ullern";"84 years";195
"030106a Ullern";"85 years";156
"030106a Ullern";"86 years";110
"030106a Ullern";"87 years";116
"030106a Ullern";"88 years";82
"030106a Ullern";"89 years";78
"030106a Ullern";"90 years";54
"030106a Ullern";"91 years";69
"030106a Ullern";"92 years";44
"030106a Ullern";"93 years";51
"030106a Ullern";"94 years";38
"030106a Ullern";"95 years";32
"030106a Ullern";"96 years";25
"030106a Ullern";"97 years";21
"030106a Ullern";"98 years";21
"030106a Ullern";"99 years";6
"030106a Ullern";"100 years";7
"030106a Ullern";"101 years";4
"030106a Ullern";"102 years";1
"030106a Ullern";"103 years";2
"030106a Ullern";"104 years";1
"030106a Ullern";"105 years or older";2
"030107a Vestre Aker";"0 years";564
"030107a Vestre Aker";"1 year";616
"030107a Vestre Aker";"2 years";708
"030107a Vestre Aker";"3 years";686
"030107a Vestre Aker";"4 years";697
"030107a Vestre Aker";"5 years";658
"030107a Vestre Aker";"6 years";703
"030107a Vestre Aker";"7 years";661
"030107a Vestre Aker";"8 years";676
"030107a Vestre Aker";"9 years";698
"030107a Vestre Aker";"10 years";669
"030107a Vestre Aker";"11 years";707
